TITLE_ID_NUMBER	TITLE	IMDB_TITLE	EPISODE_DATE	MOVIE_DATE	LENGTH	SHOTS_TOTAL	ASL	MAXIMUM_SL	STANDARD_DEVIATION	COMMENTS	DATE_SUBMITTED
657	Pilot	M*A*S*H	1972-09-17		1306	227	5.75	45	5.90		21 May 2012
658	To Market, To Market	M*A*S*H	1972-09-24		1450	234	6.20	42	6.73		21 May 2012
284	Ma̱ana es para siempre, Part 1	Ma̱ana es para siempre	2009-02-23		918	186	4.94	30	4.95		12 May 2009
285	Ma̱ana es para siempre, Part 2	Ma̱ana es para siempre	2009-02-23		573	155	3.70	24	3.34		12 May 2009
286	Ma̱ana es para siempre, Part 3	Ma̱ana es para siempre	2009-02-23		971	224	4.33	42	4.87		12 May 2009
287	Ma̱ana es para siempre, Part 1	Ma̱ana es para siempre	2009-02-24		662	152	4.36	53	5.64		13 May 2009
288	Ma̱ana es para siempre, Part 2	Ma̱ana es para siempre	2009-02-24		812	200	4.06	32	3.72		13 May 2009
289	Ma̱ana es para siempre, Part 3	Ma̱ana es para siempre	2009-02-24		339	93	3.65	16	2.76		13 May 2009
290	Ma̱ana es para siempre, Part 4	Ma̱ana es para siempre	2009-02-24		419	99	4.23	28	4.19		13 May 2009
291	Ma̱ana es para siempre, Part 5	Ma̱ana es para siempre	2009-02-24		161	30	5.37	33	5.88		13 May 2009
351	Ma̱ana es para siempre, Part 1	Ma̱ana es para siempre	2009-02-25		796	190	4.19	26	3.42		13 May 2009
352	Ma̱ana es para siempre, Part 2	Ma̱ana es para siempre	2009-02-25		659	155	4.25	20	3.71		13 May 2009
353	Ma̱ana es para siempre, Part 3	Ma̱ana es para siempre	2009-02-25		473	152	3.11	18	2.65		13 May 2009
354	Ma̱ana es para siempre, Part 4	Ma̱ana es para siempre	2009-02-25		312	85	3.67	18	3.54		13 May 2009
355	Ma̱ana es para siempre, Part 5	Ma̱ana es para siempre	2009-02-25		163	51	3.20	18	2.69		13 May 2009
356	Ma̱ana es para siempre, Part 1	Ma̱ana es para siempre	2009-02-26		811	188	4.31	39	3.99		13 May 2009
357	Ma̱ana es para siempre, Part 2	Ma̱ana es para siempre	2009-02-26		359	91	3.95	25	3.40		13 May 2009
358	Ma̱ana es para siempre, Part 3	Ma̱ana es para siempre	2009-02-26		407	99	4.11	24	3.97		13 May 2009
359	Ma̱ana es para siempre, Part 4	Ma̱ana es para siempre	2009-02-26		332	68	4.88	31	4.90		13 May 2009
360	Ma̱ana es para siempre, Part 5	Ma̱ana es para siempre	2009-02-26		450	57	7.89	57	11.06		13 May 2009
361	Ma̱ana es para siempre, Part 1	Ma̱ana es para siempre	2009-02-27		732	171	4.28	81	6.97		13 May 2009
